"id","country","year","expectancy","drinkingwater","handwash","birthattended","gdpspent","literacy","meddoctor","nursemidwives","stuteacherratio"
150,"Congo",2010,"60.95","27.418",NULL,NULL,"6.2208",NULL,"1.43","9.133333333333333","56.763149999999996"
151,"Congo",2015,"63.11","37.24400000000001","47.52","91.85","4.5615","79.311172","1.65","10.754999999999999","44.442"
152,"Congo",2019,"64.74","44.629999999999995","47.905",NULL,"3.6364",NULL,NULL,"6.865",NULL
153,"Costa Rica",2000,"78.0","87.02",NULL,"98.4",NULL,"94.868187","13.13","9.22",NULL
154,"Costa Rica",2010,"79.56","93.304","83.76","98.16","6.6345",NULL,"21.63","16.767999999999997","17.8517"
155,"Costa Rica",2015,"80.78","97.232","83.81800000000001","97.1","7.0825","97.5269125","19.985999999999997","22.348","12.6763"
156,"Costa Rica",2019,"80.85","99.53",NULL,"98.83333333333333","7.0282",NULL,"24.076666666666668","31.996666666666666","12.2047"
157,"Croatia",2000,"74.36","100.0",NULL,"99.9",NULL,NULL,"25.851999999999997","47.134",NULL
158,"Croatia",2010,"76.72","98.23799999999999",NULL,"99.9","4.2379",NULL,"27.107999999999997","55.69","14.2561"
159,"Croatia",2015,"77.58","99.318",NULL,"99.9","4.35205","99.198975","30.372000000000003","60.88199999999999","13.702"
160,"Croatia",2019,"78.64","99.57",NULL,"99.9",NULL,NULL,"30.0","81.22","13.5061"
161,"Cuba",2000,"76.76","80.2",NULL,"99.9",NULL,NULL,"57.459999999999994",NULL,NULL
162,"Cuba",2010,"77.65","85.18599999999999","85.15","99.9","12.35275",NULL,"65.808","89.35","9.1287"
163,"Cuba",2015,"77.91","88.38199999999999","85.178","99.9",NULL,"99.73162450000001","74.08200000000002","80.14333333333333","8.8992"
164,"Cuba",2019,"77.76","90.31","85.195","99.90000000000002",NULL,NULL,"82.23666666666668","77.16000000000001","9.1603"
165,"Cyprus",2000,"78.75","100.0",NULL,"97.9",NULL,NULL,"18.939999999999998","32.086",NULL
166,"Cyprus",2010,"81.02","99.792",NULL,"98.17999999999999","6.5803",NULL,"20.330000000000002","34.025999999999996","13.7531"
167,"Cyprus",2015,"82.01","99.618",NULL,"98.28","6.3753","98.8691025","24.150000000000002","38.238","11.9151"
168,"Cyprus",2019,"83.14","99.55",NULL,"96.63333333333333","6.2914",NULL,"19.51","52.51","12.0392"
169,"Czechia",2000,"74.95","99.61",NULL,"99.8",NULL,NULL,"31.064","78.45399999999998",NULL
170,"Czechia",2010,"77.56","99.72",NULL,"99.66","4.0645",NULL,"35.338","84.264","17.1824"
171,"Czechia",2015,"78.46","99.8",NULL,"99.85","5.7889","99.0","37.522000000000006","83.686","18.9318"
172,"Czechia",2019,"79.13","99.82",NULL,"99.8","5.5874",NULL,"40.693333333333335","83.985",NULL
173,"Côte d’Ivoire",2000,"50.33","55.55",NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,"Côte d’Ivoire",2010,"56.62","56.648","18.656","56.8",NULL,NULL,"1.4","4.71",NULL
175,"Côte d’Ivoire",2015,"60.2","57.312","19.035999999999998","59.4",NULL,NULL,"1.92","5.3225",NULL
176,"Côte d’Ivoire",2019,"62.92","57.769999999999996","19.310000000000002","73.6",NULL,NULL,NULL,"5.566666666666666",NULL
177,"Democratic People's Republic of Korea",2000,"63.95","99.1",NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,"Democratic People's Republic of Korea",2010,"70.18","96.62800000000001",NULL,"100.0",NULL,NULL,"32.88","41.45",NULL
179,"Democratic People's Republic of Korea",2015,"71.76","93.048",NULL,NULL,NULL,NULL,"34.760000000000005",NULL,NULL
180,"Democratic People's Republic of Korea",2019,"72.63","90.545",NULL,"99.5",NULL,NULL,"36.92","44.49",NULL
181,"Democratic Republic of the Congo",2000,"52.44","15.52",NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,"Democratic Republic of the Congo",2010,"57.51","19.032","4.220000000000001","69.25",NULL,NULL,"0.93","4.1",NULL
183,"Democratic Republic of the Congo",2015,"60.44","21.374000000000002","4.356","80.1",NULL,NULL,"0.9","9.04",NULL
184,"Democratic Republic of the Congo",2019,"62.35","22.83","4.455",NULL,NULL,NULL,"0.74","6.766666666666667",NULL
185,"Denmark",2000,"76.93","100.0",NULL,"98.8",NULL,NULL,"28.272000000000002","93.26599999999999",NULL
186,"Denmark",2010,"79.17","100.0",NULL,"98.425","8.5596",NULL,"35.638","98.636",NULL
187,"Denmark",2015,"80.59","100.0",NULL,"96.86","8.06465",NULL,"38.456","102.12","10.7374"
188,"Denmark",2019,"81.32","100.0",NULL,"94.8",NULL,NULL,"40.1","103.2",NULL
189,"Djibouti",2000,"59.84","54.72",NULL,NULL,NULL,NULL,"1.33","7.04",NULL
190,"Djibouti",2010,"61.87","51.114000000000004",NULL,"78.4","6.44825",NULL,"2.33",NULL,"34.1401"
191,"Djibouti",2015,"64.64","48.86",NULL,"87.4","5.3407",NULL,"2.24","4.59","34.128550000000004"
192,"Djibouti",2019,"65.81","47.285",NULL,NULL,"5.67535",NULL,NULL,NULL,"29.3745"
193,"Dominican Republic",2000,"73.22","79.43",NULL,NULL,NULL,NULL,"18.5","18.12",NULL
194,"Dominican Republic",2010,"73.17","84.65799999999999","54.1","97.03333333333335","2.0468","88.891594","10.98","13.25","25.5314"
195,"Dominican Republic",2015,"71.75","88.006","54.59400000000001","98.7",NULL,"91.0697588","15.27","14.2575","18.291"
196,"Dominican Republic",2019,"72.84","90.16","55.11","99.8",NULL,NULL,NULL,"12.523333333333333","18.92005"
197,"Ecuador",2000,"74.53","70.22",NULL,NULL,"1.1509",NULL,"13.548000000000002","16.63",NULL
198,"Ecuador",2010,"75.02","76.364","80.55","83.92","4.5074","86.75124133333333","18.545","17.689999999999998","21.984"
199,"Ecuador",2015,"77.18","80.3","80.59","92.72","4.9987","93.136876","18.615","21.814999999999998","25.1082"
200,"Ecuador",2019,"78.45","100.0","80.625","96.10000000000001",NULL,NULL,"20.37","27.290000000000003","24.2622"
201,"Egypt",2000,"69.82","96.69","66.05",NULL,NULL,"55.587002000000005",NULL,NULL,NULL
202,"Egypt",2010,"70.2","97.692","77.99000000000001","78.9","3.7608","69.2088815",NULL,"23.36","27.4718"
203,"Egypt",2015,"70.49","98.318","85.382","91.5",NULL,"74.92298133333334","9.8","19.566666666666666",NULL
204,"Egypt",2019,"71.82","98.755","89.83",NULL,NULL,NULL,"6.906666666666666","19.26","23.6795"
205,"El Salvador",2000,"72.5","55.52",NULL,NULL,NULL,NULL,"12.44",NULL,NULL
206,"El Salvador",2010,"74.5","71.506","90.29","94.74000000000001","4.2531","83.6270022","18.82","13.68","31.0044"
207,"El Salvador",2015,"73.25","84.02000000000001","90.45","99.24","3.9099","86.636594",NULL,"17.64","29.6944"
208,"El Salvador",2019,"75.03","92.015","90.625","99.90000000000002","3.721633333333333",NULL,"15.66","18.253333333333334","26.8947"
209,"Equatorial Guinea",2000,"54.31","38.69",NULL,NULL,NULL,"88.308296",NULL,NULL,"43.3927"
210,"Equatorial Guinea",2010,"59.65","33.82","24.2025",NULL,NULL,NULL,NULL,NULL,"27.1674"
211,"Equatorial Guinea",2015,"61.13","31.142000000000003","24.561999999999998","68.3",NULL,"95.076202",NULL,NULL,"23.2271"
212,"Equatorial Guinea",2019,"62.19","30.78",NULL,NULL,NULL,NULL,"4.02","5.02",NULL
213,"Eritrea",2000,"54.51","30.99",NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,"Eritrea",2010,"60.7","28.863999999999997",NULL,"34.1","2.127",NULL,NULL,NULL,"37.959"
